"연도별","농축수산물","공업제품","내구재","섬유제품","출판물","석유류","의약품","기타","집세","유치원납입금","고등학교납입금","전문대학납입금","국공립대학교납입금","사립대학교납입금","국공립대학원납입금","사립대학원납입금","보육시설이용료","독서실비","문화강습료","초등학생학원비","중학생학원비","고등학생학원비","음악학원비","미술학원비","운동학원비","전산학원비","가정학습지","이러닝이용료","학교보충교육비","취업학원비","외국어학원비","운동강습료","혼인율"
"1998. 11",58.889,65.045,95.092,65.664,55.608,63.067,"-",54.865,74.08,52.864,78.272,51.395,53.709,52.821,52.609,40.69,87.536,70.745,"-",59.774,"-",49.247,62.472,60.26,53.976,67.008,68.798,"-","-",58.05,59.929,91.115,2916
"1998. 12",59.197,64.882,94.493,65.91,55.823,61.74,"-",55.21,74.153,52.864,78.272,51.395,53.709,52.821,52.609,40.69,87.536,70.745,"-",59.774,"-",49.247,62.472,60.26,53.976,67.008,68.798,"-","-",58.05,59.929,91.115,1990
"1999. 01",59.609,64.609,94.293,65.787,56.334,58.883,"-",56.248,74.225,52.864,78.272,51.395,53.709,52.821,52.609,40.69,87.536,70.745,"-",59.774,"-",49.247,62.472,60.26,53.976,67.008,68.798,"-","-",58.05,59.929,91.115,1141
"1999. 02",61.458,64.609,94.693,65.787,57.23,58.35,"-",56.291,74.225,52.864,78.272,51.395,53.709,52.821,52.609,40.69,87.536,73.782,"-",57.677,"-",49.247,62.472,60.26,53.976,67.008,68.798,"-","-",58.05,59.929,91.115,853
"1999. 03",61.613,64.555,94.493,65.787,57.23,58.35,"-",56.334,73.792,52.864,85.599,51.395,55.173,52.821,52.609,42.907,87.536,73.782,"-",57.677,"-",48.536,62.472,60.26,53.976,67.008,68.798,"-","-",58.05,59.929,91.115,2167
"1999. 04",62.383,64.827,94.992,65.787,57.23,60.311,"-",56.291,73.719,53.463,85.599,51.395,55.173,52.821,52.609,42.907,83.16,73.782,"-",57.677,"-",48.536,62.472,60.26,53.976,67.008,68.798,"-","-",58.05,59.929,91.115,2036
"1999. 05",60.944,65.208,94.992,65.91,57.23,62.502,"-",56.378,72.708,53.463,85.599,51.395,55.173,52.821,52.609,42.907,83.16,73.782,"-",57.677,"-",50.417,62.472,60.26,53.976,67.008,68.798,"-","-",58.05,64.551,91.115,2366
"1999. 06",58.324,65.371,95.192,65.971,57.23,62.502,"-",57.069,72.635,53.463,85.599,51.395,55.173,52.821,52.609,42.907,83.16,73.782,"-",57.677,"-",50.417,62.472,60.26,53.976,67.008,68.798,"-","-",58.05,64.551,91.115,1076
"1999. 07",57.605,65.099,95.192,65.971,57.23,62.137,"-",57.069,72.491,53.463,85.599,51.395,55.173,52.821,52.609,42.907,83.16,73.782,"-",57.677,"-",50.417,62.472,60.26,53.976,67.008,68.798,"-","-",58.05,64.551,91.115,663
"1999. 08",62.742,65.317,95.491,65.971,57.23,62.901,"-",57.026,72.346,53.463,85.599,51.395,55.173,52.821,52.609,42.907,83.16,73.782,"-",59.774,"-",50.417,62.472,60.26,53.976,67.008,68.798,"-","-",58.05,64.551,91.115,719
"1999. 09",61.15,65.371,94.793,65.971,57.102,64.462,"-",56.94,72.13,53.463,85.599,51.395,56.205,52.821,52.609,43.74,83.16,73.782,"-",59.774,"-",50.417,62.472,60.26,53.976,67.008,68.798,"-","-",58.05,64.551,91.115,966
"1999. 10",62.383,66.188,95.692,66.095,57.102,69.245,"-",56.723,71.407,53.463,85.599,51.395,56.205,52.821,52.609,43.74,83.16,73.782,"-",59.774,"-",50.417,62.472,60.26,53.976,67.008,68.798,"-","-",58.05,64.551,91.115,2446
"1999. 11",60.327,66.133,94.593,66.034,57.102,71.038,"-",56.593,71.624,53.463,85.599,51.395,56.205,52.821,52.609,43.74,83.16,73.782,"-",59.774,"-",50.417,62.472,60.26,53.976,67.008,68.798,"-","-",58.05,64.551,91.115,2467
"1999. 12",60.996,65.643,92.496,66.034,57.358,69.411,"-",56.55,71.551,53.463,85.599,51.395,56.205,52.821,52.609,43.74,83.16,73.782,"-",59.774,"-",50.417,62.472,60.26,53.976,67.008,68.798,"-","-",58.05,64.551,91.115,1818
"2000. 01",62.827,65.567,91.075,65.889,58.266,68.471,"83.942999999999998",58.141,71.371,53.464,85.659,51.393,56.171,52.806,52.65,43.771,83.16,73.783,"-",59.778,"-",50.853,62.488,61.6,55.057,67.015,73.268,"-","82.888999999999996",58.05,64.565,91.115,1253
"2000. 02",63.075,65.634,91.258,65.956,58.989,68.328,"83.942999999999998",58.141,71.588,53.464,85.659,51.393,56.171,52.806,52.65,43.771,83.16,74.982,"-",62.977,"-",50.853,62.74,61.6,55.057,67.015,73.268,"-","83.233999999999995",58.05,64.565,91.115,941
"2000. 03",62.951,65.7,91.258,65.956,60.494,68.328,"83.942999999999998",58.198,71.66,55.505,92.508,56.271,63.732,58.316,58.018,50.654,83.16,74.982,"-",62.977,"-",58.077,62.74,62.959,55.057,69.203,76.066,"-","87.114000000000004",58.05,65.685,91.115,1824
"2000. 04",61.584,65.302,91.166,65.956,60.494,66.906,"83.942999999999998",57.909,71.732,55.505,92.508,56.271,63.732,58.316,58.018,50.654,83.16,74.982,"-",62.977,"-",58.077,62.74,61.6,55.057,69.203,76.066,"-","87.028000000000006",58.05,65.685,91.115,2172
"2000. 05",59.969,65.435,91.351,66.556,60.494,66.264,"83.942999999999998",57.909,71.949,55.505,92.508,56.271,63.732,58.316,58.018,50.654,83.16,74.982,"-",62.977,"-",58.077,62.74,61.6,55.057,69.203,76.066,"-","87.028000000000006",58.05,65.685,91.115,2010
"2000. 06",59.72,66.164,92.271,66.556,60.494,69.966,"83.942999999999998",58.082,72.022,55.505,92.508,56.271,63.732,58.316,58.018,50.654,83.16,74.982,"-",62.977,"-",58.077,62.74,61.6,55.057,69.203,76.066,"-","87.028000000000006",58.05,65.685,91.115,1051
"2000. 07",60.403,66.032,92.364,66.556,60.494,69.966,"83.942999999999998",57.966,72.238,55.505,92.508,56.271,63.732,58.316,58.018,50.654,83.16,74.982,"-",62.977,"-",58.077,62.74,61.6,55.057,69.203,76.066,"-","87.028000000000006",58.05,65.685,91.115,580
"2000. 08",62.392,66.695,92.64,66.556,60.494,72.67,"84.027000000000001",58.024,72.382,55.505,92.508,56.271,63.732,58.316,58.018,50.654,83.16,74.982,"-",62.977,"-",58.077,62.74,61.6,55.057,68.109,76.066,"-","86.77",58.05,65.685,91.115,620
"2000. 09",67.426,67.226,93.284,66.556,60.494,74.664,"84.278999999999996",58.198,72.382,55.505,92.508,56.271,63.732,58.316,58.018,50.654,83.16,74.982,"-",62.977,"-",58.077,62.74,61.6,55.057,68.109,76.066,"-","86.77",58.05,66.871,91.115,1099
"2000. 10",64.257,67.425,92.916,67.557,60.494,76.23,"84.531999999999996",57.966,72.455,55.505,92.508,56.271,63.732,58.316,58.018,50.654,83.16,74.982,"-",62.977,"-",58.077,62.74,61.6,55.057,68.109,76.066,"-","86.77",58.05,66.871,91.115,2431
"2000. 11",60.838,67.226,92.824,68.024,60.494,75.66,"84.953000000000003",56.75,72.96,55.505,92.508,56.271,63.732,58.316,58.018,50.654,83.16,74.982,"-",62.977,"-",58.077,62.74,61.6,55.057,68.109,76.066,"-","86.596999999999994",58.05,66.871,91.115,2164
"2000. 12",60.466,67.956,92.824,68.024,60.494,76.656,"85.122",58.43,73.682,55.505,92.508,56.271,63.732,58.316,58.018,50.654,83.16,74.982,"-",62.977,"-",58.077,62.74,61.6,55.057,68.109,76.066,"-","86.77",58.05,66.871,91.115,1712
"2001. 01",63.075,68.156,92.916,67.957,60.554,75.66,"89.415000000000006",59.821,73.972,55.505,92.508,56.271,63.732,58.316,58.018,50.654,86.403,74.982,"-",64.358,"-",58.93,62.74,61.6,56.159,68.109,76.066,"-","87.373999999999995",58.05,66.871,96.217,861
"2001. 02",63.075,68.421,92.916,67.89,61.577,75.803,"90.087999999999994",60.343,74.116,55.505,92.508,56.271,63.732,58.316,58.018,50.654,86.403,74.982,"-",64.358,"-",58.93,62.74,61.6,56.159,68.109,76.142,"-","88.322999999999993",58.05,66.871,96.217,1046
"2001. 03",65.375,68.355,93.008,67.957,61.638,76.158,"90.257999999999996",59.3,74.261,61.574,92.508,58.156,69.606,62.162,61.844,55.06,85.987,74.982,"-",64.358,"-",60.523,62.74,62.403,58.361,68.109,76.142,"-","88.753",58.05,69.177,96.217,1751
"2001. 04",66.059,68.553,92.547,67.957,61.638,76.799,"90.341999999999999",60.923,74.622,61.574,92.508,58.156,69.606,62.162,61.844,55.06,85.987,74.982,"-",64.358,"-",60.523,62.74,62.403,58.361,68.109,76.142,"-","88.753",58.05,69.177,96.217,2094
"2001. 05",64.381,68.62,92.824,68.424,61.638,75.944,"90.593000000000004",61.039,74.766,61.574,92.508,58.156,67.668,62.162,61.844,55.06,85.987,74.982,"-",64.358,"-",60.523,62.74,62.403,58.361,68.109,76.142,"-","88.753",58.05,69.177,96.217,1972
"2001. 06",64.94,68.687,91.995,68.29,61.638,76.371,"90.593000000000004",61.56,75.705,61.574,92.508,58.156,67.668,62.162,61.844,55.06,85.987,74.982,"-",64.358,"-",60.523,62.74,62.403,58.361,68.109,76.142,"-","88.753",58.05,69.177,96.217,878
"2001. 07",66.804,68.488,91.719,68.357,61.698,76.514,"89.584000000000003",60.575,75.922,61.574,92.508,58.156,67.668,62.162,61.844,55.06,85.987,74.982,"-",64.358,"-",60.523,62.74,63.761,58.361,68.109,76.142,"-","88.84",58.05,71.089,96.217,754
"2001. 08",69.849,68.553,92.364,68.357,61.698,74.664,"90.930999999999997",61.619,75.994,61.574,92.508,58.156,67.668,62.162,61.844,55.06,85.987,78.203,"-",64.358,"-",60.523,62.74,63.761,58.361,68.109,76.142,"-","88.84",58.05,71.089,96.217,604
"2001. 09",68.296,68.488,92.732,68.424,61.698,74.236,"91.015000000000001",61.502,76.5,61.574,92.508,58.156,67.668,61.588,61.844,55.06,85.987,78.203,"-",64.358,"-",60.523,62.74,63.761,58.361,68.109,76.142,"-","88.84",58.05,71.089,96.217,1168
"2001. 10",67.115,68.553,92.824,68.89,61.698,74.308,"90.930999999999997",61.212,76.572,61.574,92.508,58.156,67.668,61.588,61.844,55.06,85.987,78.203,"-",65.424,"-",60.523,62.74,63.761,58.361,68.109,76.142,"-","88.84",58.05,71.089,96.217,1936
"2001. 11",64.567,68.222,92.824,68.957,63.082,72.172,"91.099000000000004",60.516,77.078,61.574,92.508,58.156,67.668,61.588,61.844,55.06,85.987,78.203,"-",65.424,"-",60.523,62.74,63.761,58.361,68.109,80.906,"-","88.84",58.05,71.089,96.217,2240
"2001. 12",65.935,67.824,91.075,69.558,63.082,69.326,"91.099000000000004",62.024,77.512,61.574,92.508,58.156,67.668,61.588,61.844,55.06,85.987,78.203,"-",65.424,"-",61.377,62.74,63.761,58.361,68.109,80.906,"-","88.84",58.05,71.089,96.217,1762
"2002. 01",67.488,67.956,91.258,69.558,63.142,70.322,"91.183000000000007",61.851,77.656,61.574,92.508,58.156,67.668,61.588,61.844,55.06,85.987,74.982,"-",65.989,"-",61.377,62.74,63.761,59.462,68.109,80.906,"-","84.872",58.05,71.089,96.217,982
"2002. 02",70.036,68.488,91.443,69.424,64.045,70.464,"91.350999999999999",64.342,77.872,61.574,92.508,58.156,67.668,61.588,61.844,55.06,85.987,74.982,"-",65.989,"-",61.377,65.186,63.761,59.462,65.921,80.906,"-","84.872",58.05,71.089,98.677,812
"2002. 03",68.419,68.62,91.351,69.491,64.286,71.033,"91.52",64.517,78.305,67.202,99.63,64.809,76.29,66.696,67.097,61.448,91.143,74.982,"-",65.989,"-",63.538,65.186,65.613,59.462,60.108,80.906,"-","84.872",58.05,71.089,98.677,1923
"2002. 04",69.228,69.283,91.812,69.624,66.332,73.382,"92.108999999999995",64.69,78.522,67.202,99.63,64.809,76.29,66.696,67.097,61.448,91.143,74.982,"-",65.989,"-",63.538,65.186,65.613,59.462,60.108,82.72,"-","85.649000000000001",58.05,71.089,98.677,2010
"2002. 05",70.844,69.55,91.535,70.024,66.392,74.877,"92.361999999999995",64.574,78.883,67.202,99.63,64.809,76.29,66.696,67.097,61.448,91.143,74.982,"-",65.989,"-",63.538,65.186,65.613,60.563,60.108,82.72,"-","85.649000000000001",61.185,71.089,98.677,1748
"2002. 06",69.166,69.682,91.627,70.024,66.392,74.806,"92.53",65.096,79.317,67.202,99.63,64.809,76.29,66.696,67.097,61.448,91.143,74.982,"-",65.989,"-",63.538,65.186,65.613,60.563,60.108,82.72,"-","85.649000000000001",61.185,71.089,98.677,1180
"2002. 07",67.364,69.416,91.258,70.024,66.392,73.88,"92.53",64.227,79.895,67.202,99.63,64.809,76.29,66.696,67.097,61.448,91.143,74.982,"-",61.284,"-",63.538,65.186,65.613,60.563,60.108,82.72,"-","85.649000000000001",60.547,72.472,101.228,631
"2002. 08",71.092,69.615,91.075,70.024,66.633,73.88,"92.614000000000004",65.096,80.112,67.202,99.63,64.809,76.29,66.696,67.097,61.448,91.726,74.982,"-",61.284,"-",63.538,65.186,65.613,60.563,60.108,82.72,"-","85.649000000000001",60.547,74.448,101.228,646
"2002. 09",74.013,69.814,92.364,70.024,66.754,73.525,"92.7",65.444,80.546,67.202,99.63,64.809,76.29,66.696,67.097,61.448,96.798,74.982,"-",62.475,"-",63.538,65.186,66.971,60.563,60.108,82.72,"-","85.649000000000001",60.547,74.448,101.228,1002
"2002. 10",68.543,70.611,92.916,71.225,66.934,76.656,"92.784000000000006",65.618,80.69,67.202,99.63,64.809,76.29,66.696,67.097,61.448,95.967,74.982,"-",63.667,"-",63.538,65.186,66.971,62.766,59.014,82.72,"-","85.649000000000001",60.547,74.448,103.78,2088
