"연도별","농축수산물","공업제품","내구재","섬유제품","출판물","석유류","집세","유치원납입금","고등학교납입금","보육시설이용료","독서실비","가정학습지","취업학원비","외국어학원비","운동강습료","혼인율","X20대취업율","X30대취업율","X40대취업율","chul","M15_Up_Ingu","F15_Up_Ingu","Mgj_Ingu","Fgj_Ingu","M_silup_rate","F_silup_rate","대학교납입금","청소년학원비","예체능학원비","대학원납입금"
"2010. 05",89.936,89.681,102.711,83.969,84.604,116.275,87.755,140.091,122.399,157.735,94.289,97.857,89.987,89.447,92.507,1875,237,333,397,2095,1103,1125,840,568,4.4,3.5,329.244,176.83,329.544,196.025
"2010. 06",88.095,89.771,102.505,84.561,84.604,115.125,87.931,140.091,122.399,157.735,94.289,97.857,89.987,89.447,92.507,1224,237,334,395,1980,1104,1126,834,572,4.5,4,329.244,176.83,330.758,196.025
"2010. 07",89.383,89.861,102.403,84.561,85.369,115.7,88.196,140.091,122.399,157.735,94.289,97.857,90.077,89.447,92.507,953,237,343,394,2034,1106,1128,854,583,4.9,4.5,329.244,176.83,330.758,196.025
"2010. 08",92.329,89.861,102.608,84.73,85.624,115.24,88.549,140.091,122.399,157.735,95.243,97.857,90.077,89.447,92.507,1014,224,338,393,2153,1108,1130,828,570,4.4,4,329.244,176.83,330.758,196.025
"2010. 09",102.087,89.681,102.403,84.73,86.305,113.515,88.637,140.091,122.399,157.735,97.149,97.857,90.077,89.447,92.507,1131,226,336,396,2266,1110,1131,846,560,4.9,4.8,329.236,176.83,330.758,196.025
"2010. 10",102.455,89.95,102.403,84.815,86.305,114.32,88.901,140.091,122.399,157.735,97.149,97.857,90.077,89.447,92.507,2082,225,335,396,2365,1111,1133,854,566,5,5.5,329.236,176.83,330.758,196.025
"2010. 11",95.735,89.771,102.3,85.745,85.794,115.355,89.166,140.091,122.399,157.735,97.149,97.857,90.98,89.447,92.507,1916,232,337,402,2279,1113,1135,854,570,4.8,4,329.236,176.83,334.374,196.025
"2010. 12",94.354,90.758,102.198,85.745,85.794,119.38,89.43,140.091,122.399,157.735,97.149,97.857,92.785,89.447,92.507,1758,222,341,402,1879,1115,1137,851,569,5.5,5.8,329.236,176.83,334.374,196.025
"2011. 01",98.496,91.654,103.224,85.83,85.794,123.98,89.607,140.091,122.399,157.735,97.149,97.857,92.965,90.696,92.507,1246,221,336,396,2590,1117,1139,835,555,5,6.2,329.236,178.644,334.374,196.025
"2011. 02",100.338,92.282,103.018,86.422,86.05,125.706,89.695,140.091,122.399,157.735,97.149,97.857,93.055,90.963,92.969,1121,217,338,384,2102,1119,1141,840,553,6.2,5.5,329.236,178.644,336.27,196.025
"2011. 03",99.693,93.179,102.916,86.506,88.175,130.766,89.96,146.453,100,164.884,97.149,97.857,93.146,90.963,92.969,1603,213,341,392,2325,1120,1143,861,563,6.3,6.2,332.786,181.83,343.489,198.21
"2011. 04",98.036,93.269,102.711,86.506,88.175,131.686,90.048,146.453,100,164.884,97.149,97.857,92.965,90.963,92.969,1656,213,344,399,2299,1122,1144,860,584,4.9,5.7,332.786,181.83,343.489,198.21
"2011. 05",95.275,93.896,102.916,87.69,88.175,130.076,90.665,146.453,100,164.884,97.149,97.857,93.055,90.963,92.969,1893,221,344,407,2106,1124,1146,866,596,4.2,4.2,332.786,181.83,343.489,198.21
"2011. 06",96.471,94.076,103.018,87.859,88.175,129.156,90.93,146.453,100,164.884,97.149,98.836,93.055,90.963,92.969,1380,218,345,408,1986,1125,1148,865,607,4.4,5,332.786,181.83,343.489,198.21
"2011. 07",98.496,94.614,102.711,87.944,88.77,131.686,91.371,146.453,100,164.884,97.149,98.836,93.055,91.498,92.969,900,220,340,414,2135,1127,1150,872,601,5.4,4.5,332.685,181.83,343.489,198.21
"2011. 08",103.928,94.704,102.711,87.944,88.77,131.801,91.459,146.453,100,164.884,97.149,98.836,93.055,91.498,92.969,998,220,335,412,2250,1129,1152,863,598,4.3,4,332.685,181.83,349.558,198.21
"2011. 09",102.363,94.883,102.608,87.944,88.77,132.031,91.547,146.453,100,164.884,97.149,98.836,93.055,91.498,92.969,1169,216,337,409,2184,1130,1154,858,589,4.4,3.7,332.164,181.83,353.276,198.21
"2011. 10",98.036,95.062,102.711,88.028,88.77,133.641,91.724,146.453,100,164.884,97.149,99.618,93.055,91.766,92.969,2257,219,338,417,2141,1132,1156,866,606,3.9,4.3,332.164,181.83,353.276,198.21
"2011. 11",96.563,95.69,102.711,90.058,88.77,133.066,91.988,146.453,100,164.884,98.103,99.618,93.055,91.766,92.969,2054,221,339,416,2108,1134,1158,868,607,4.6,3,332.164,181.83,354.49,198.21
"2011. 12",99.141,95.6,102.403,90.058,89.196,131.111,92.253,146.453,100,164.884,98.103,99.618,93.236,92.479,95.097,1736,223,338,417,1892,1137,1160,871,602,3.9,3.9,332.164,182.778,354.49,198.21
"2012. 01",102.722,95.932,102.988,90.058,89.247,131.801,92.279,146.494,100,164.899,96.215,99.618,93.561,93.398,95.069,1113,214,330,409,2546,1138,1162,856,594,5,5.2,332.147,182.786,356.07,198.22
"2012. 02",102.409,96.587,102.516,90.286,90.156,134.699,92.482,146.494,100,164.899,96.215,99.618,93.561,93.398,95.069,1299,212,333,407,2211,1140,1164,855,598,5.1,5.6,332.147,182.786,358.898,198.22
"2012. 03",103.863,96.865,102.003,90.455,90.964,137.264,92.606,123.219,100,107.851,96.215,99.618,94.13,94.156,95.069,1839,224,338,419,2492,1142,1166,876,611,4.6,5.1,303.738,185.792,366.042,197.925
"2012. 04",101.028,96.578,101.746,90.464,90.964,138.713,92.808,123.219,100,107.851,99.905,99.618,94.13,94.432,95.069,1580,219,341,415,2270,1143,1168,885,624,4.4,5.1,303.738,185.792,366.042,197.925
"2012. 05",100.669,97.116,101.941,91.757,91.185,137.816,92.958,123.219,100,107.851,99.905,99.618,94.527,94.432,95.069,1515,215,337,419,2251,1145,1170,882,632,4.4,4.8,303.738,185.792,366.042,197.925
"2012. 06",99.868,96.919,101.664,92.476,91.143,134.055,93.073,123.219,100,107.851,99.905,99.618,94.671,94.432,96.781,1625,215,344,417,2236,1146,1172,884,635,4.7,4.2,303.738,185.792,366.641,197.925
"2012. 07",99.353,95.986,101.469,92.476,91.355,128.845,93.188,123.219,100,107.851,99.905,99.618,95.104,94.432,96.781,1077,227,339,413,2281,1148,1174,893,628,4.7,4.4,303.738,187.428,369.986,197.925
"2012. 08",99.905,96.587,101.305,92.468,91.355,131.744,93.399,123.219,100,107.851,99.905,99.618,95.565,94.432,96.781,960,211,340,410,2385,1150,1176,878,619,4.4,4.6,303.738,187.428,371.617,197.925
"2012. 09",105.492,97.313,101.346,92.459,91.432,135.516,93.54,123.219,100,107.851,99.905,99.618,95.565,94.798,96.781,1326,208,344,412,2420,1151,1178,874,622,3.9,4.2,303.213,187.428,371.617,197.925
"2012. 10",104.167,97.206,100.997,92.459,91.976,135.102,93.69,123.219,100,107.851,99.905,99.618,95.565,94.798,96.781,2088,215,347,414,2461,1152,1180,879,630,3.9,3.7,303.213,187.428,371.617,197.925
"2012. 11",100.816,97.062,101.305,93.745,91.959,131.249,93.752,123.219,100,107.851,99.905,99.618,96.025,94.798,96.781,1984,218,344,410,2227,1154,1182,881,627,4.3,2.9,303.213,187.428,371.617,197.925
"2012. 12",102.335,97.116,101.438,93.753,92.138,130.697,93.831,123.219,100,107.851,99.905,99.618,96.025,95.511,96.781,1673,216,340,407,2001,1157,1184,875,617,4.9,4.1,303.213,187.428,372.816,197.925
"2013. 01",105.566,97.062,102.177,93.753,92.554,130.398,93.893,123.219,100,107.851,99.905,101.067,96.485,96.626,96.781,1314,207,332,396,2539,1158,1185,870,603,5.9,5.2,303.213,188.998,379.64,197.925
"2013. 02",106.818,97.439,101.982,93.778,92.554,131.732,93.955,123.219,100,107.851,99.905,101.067,95.565,97.705,96.781,1036,204,334,389,2182,1160,1187,866,607,6.5,4.8,303.213,188.998,380.839,197.925
"2013. 03",103.964,97.699,101.613,93.821,93.311,133.848,93.981,89.448,100,85.099,99.905,101.067,95.565,98.205,96.781,1785,201,344,400,2300,1162,1189,874,621,4.8,3.6,301.293,190.712,391.54,198.403
"2013. 04",103.467,97.08,101.182,93.804,93.328,131.376,94.034,89.448,100,85.099,99.905,101.067,95.862,98.205,97.854,1549,204,343,398,2096,1163,1191,881,634,4.6,3.4,301.293,190.712,391.54,198.403
"2013. 05",102.234,97.242,100.884,94.717,93.328,127.741,94.131,90.333,100,85.099,99.905,101.067,96.765,98.205,97.854,1692,212,343,399,2045,1165,1193,888,630,4.4,2.9,301.293,190.712,391.54,198.403
"2013. 06",100.844,97.412,101.274,95.013,94.45,127.408,94.308,90.333,100,85.099,99.905,101.067,96.765,97.937,97.854,1504,212,344,402,1909,1167,1195,892,632,4.1,2.7,301.293,192.393,391.54,198.403
