"연도별","농축수산물","공업제품","내구재","섬유제품","출판물","석유류","집세","유치원납입금","고등학교납입금","보육시설이용료","독서실비","가정학습지","취업학원비","외국어학원비","운동강습료","혼인율","X20대취업율","X30대취업율","X40대취업율","chul","M15_Up_Ingu","F15_Up_Ingu","Mgj_Ingu","Fgj_Ingu","M_silup_rate","F_silup_rate","대학교납입금","청소년학원비","예체능학원비","대학원납입금"
"2017. 10",107.34,101.56,101.9,102.81,102.49,100.56,104.39,99.58,100,108.03,101.77,101.66,105.13,104.69,101.79,1705,232,334,397,1595,1230,1262,933,688,4.6,2.6,298.95,206.66,408.88,200.93
"2017. 11",103.77,101.35,101.52,103.51,102.49,101.85,104.5,99.58,100,108.03,101.77,101.66,106.96,104.69,101.79,1757,228,335,393,1553,1231,1263,928,683,4.6,2.8,298.95,206.66,408.88,200.93
"2017. 12",107.3,101.45,101.23,103.51,102.78,103.11,104.55,99.58,100,108.03,101.77,101.66,106.96,104.69,101.79,1509,230,335,392,1310,1232,1263,930,675,4.7,3.1,298.95,206.66,408.88,200.93
"2018. 01",109.87,101.42,101.21,103.53,102.78,103.65,104.66,99.58,100,108.03,101.77,101.66,108.07,105.27,101.79,1139,230,341,393,1900,1232,1264,931,678,4.5,4.2,298.95,207.62,417.36,200.93
"2018. 02",115.45,101.8,100.98,103.83,102.78,104.56,104.98,99.58,100,108.03,101.77,101.94,108.32,105.13,101.79,854,232,340,392,1700,1232,1264,932,697,4.7,5.6,298.95,207.62,417.36,200.93
"2018. 03",111.04,101.9,101.72,103.6,102.36,103.65,105.03,101.2,100,94.64,101.77,101.94,109.69,105.13,101.79,1333,234,344,387,1800,1232,1265,945,706,4.8,5.3,297.65,207.62,417.36,201.88
"2018. 04",110.86,101.97,101.95,103.61,102.42,102.71,105.15,101.2,100,94.64,100.17,101.94,109.23,105.13,101.79,1242,225,339,392,1700,1233,1266,942,701,4.5,5.4,297.65,207.62,418.9,201.88
"2018. 05",109.51,102.45,102.43,103.6,102.42,105.25,105.28,101.2,100,84.68,100.17,101.94,109.78,105.5,101.79,1338,236,341,397,1700,1233,1266,959,704,4.7,4.3,297.65,207.62,418.9,201.88
"2018. 06",107.81,102.82,101.85,103.6,102.69,107.96,105.27,101.2,100,84.68,100.17,101.94,109.78,105.5,101.79,1162,239,338,396,1600,1234,1266,954,707,4,3.9,297.65,207.62,418.9,201.88
"2018. 07",108.06,102.33,100.99,103.54,104.34,107.65,105.27,101.2,100,84.68,100.17,102.23,107.23,105.69,101.79,833,240,337,397,1600,1235,1268,944,712,4.1,3.7,297.65,207.62,418.9,201.88
"2018. 08",117.76,102.44,100.81,103.54,104.34,108.12,105.26,101.2,100,80.66,100.17,102.23,107.23,105.69,101.79,870,237,330,388,1700,1236,1269,939,701,4.6,3.8,297.65,207.62,418.9,201.88
"2018. 09",123.88,102.51,100.93,103.6,104.34,108.98,105.47,101.2,100,80.66,100.17,102.23,108.55,105.69,101.79,1100,240,328,387,1600,1238,1270,941,699,4.2,3.2,297.65,207.62,418.9,201.88
"2018. 10",118.47,103.08,101.1,103.67,104.4,112.68,105.51,101.2,100,80.66,101.03,102.23,109.73,105.69,101.79,1787,244,332,386,1700,1239,1271,940,703,3.6,4.1,297.65,207.62,418.9,201.88
"2018. 11",113.85,102.55,100.66,103.99,104.75,108.09,105.53,101.2,100,80.66,101.03,102.23,108.32,105.69,101.79,1669,238,332,393,1600,1240,1272,941,711,3.8,3.6,297.65,207.62,418.9,201.88
"2018. 12",114.71,101.51,100.63,103.99,104.83,98.55,105.57,101.2,100,80.66,101.03,102.23,108.66,105.69,101.79,1523,247,330,392,1500,1241,1273,944,705,3.9,3.6,297.65,207.62,418.9,201.88
