"楷飞拌摸喊","15 - 19技","20 - 29技","30 - 39技","40 - 49技","50 - 59技","60技捞惑","15 - 64技","15 - 24技","15 - 29技","拌","chul","M15_Up_Ingu","F15_Up_Ingu","Mgj_Ingu","Fgj_Ingu","M_non_gj_Ingu","F_non_gj_Ingu","M_gj_chamga","F_gj_chamga","M_silup_rate","F_silup_rate","M_goyong_rate","F_goyong_rate","M_goyong_rate_15_64","F_goyong_rate_15_64"
"2013. 08",15,212,340,405,333,158,"1376",99,227,1463,2203,1170,1198,887,637,283,561,75.8,53.1,4.1,3.8,72.7,51.1,75.9,55.2
"2013. 09",12,217,346,403,332,164,"1382",102,229,1473,2129,1172,1200,888,639,284,561,75.8,53.2,3.9,2.9,72.8,51.7,75.9,55.7
"2013. 10",12,206,351,407,337,165,"1386",96,219,1478,2144,1174,1202,895,639,279,563,76.2,53.2,3.7,3.5,73.4,51.3,76.7,55.2
"2013. 11",9,209,344,407,331,159,"1371",91,219,1458,1972,1175,1203,885,630,291,574,75.3,52.3,3.2,4.3,72.8,50,76.5,53.8
"2013. 12",11,211,345,402,334,150,"1377",93,222,1454,1879,1177,1205,884,627,294,579,75.1,52,3.5,4.2,72.5,49.8,76.4,54.2
"2014. 01",19,205,338,400,331,141,"1364",96,224,1434,2362,1179,1207,892,632,286,575,75.7,52.4,5.4,6.6,71.6,48.9,76,53.4
"2014. 02",17,206,332,404,334,143,"1365",96,223,1436,2192,1180,1209,891,636,290,573,75.5,52.6,5.5,6.5,71.3,49.2,75.6,53.7
"2014. 03",14,200,336,407,341,158,"1370",86,213,1456,2219,1182,1210,897,638,285,572,75.9,52.7,4.9,5.6,72.2,49.8,75.8,53.8
"2014. 04",15,208,340,407,350,167,"1393",93,224,1487,2246,1184,1212,906,651,278,561,76.5,53.7,4.5,4.3,73,51.4,76.6,55.1
"2014. 05",17,209,340,407,349,172,"1397",97,226,1494,2118,1185,1214,907,662,278,552,76.5,54.5,4.3,5.4,73.2,51.6,76.7,55.3
"2014. 06",14,206,341,409,349,177,"1393",94,220,1496,1955,1187,1216,902,663,284,553,76,54.5,4,5,73,51.8,76.2,55.3
"2014. 07",17,211,341,407,350,174,"1401",99,228,1501,2156,1188,1217,904,665,284,552,76.1,54.6,4.6,4,72.6,52.4,76,56.2
"2014. 08",17,211,336,402,350,170,"1390",96,229,1487,2227,1190,1218,893,656,296,562,75.1,53.9,4.1,3.9,72,51.8,75.5,55.5
"2014. 09",15,215,337,405,352,168,"1398",94,230,1492,2248,1191,1220,895,656,295,564,75.2,53.8,3.7,4,72.4,51.6,76.1,55.6
"2014. 10",15,211,336,402,348,162,"1383",90,225,1473,2118,1191,1221,888,648,304,573,74.5,53.1,3.5,4.7,71.9,50.6,75.6,54.6
"2014. 11",16,208,338,396,347,166,"1380",90,223,1470,1937,1193,1222,895,645,298,578,75,52.7,3.8,5.5,72.2,49.8,76.2,53.7
"2014. 12",15,206,339,393,347,140,"1376",89,221,1440,2008,1194,1223,879,631,315,592,73.6,51.6,4.1,5.4,70.6,48.8,75.4,54.1
"2015. 01",17,211,345,391,344,134,"1387",96,227,1441,2445,1195,1225,885,638,310,586,74,52.1,5.2,5.7,70.2,49.2,75.4,55.1
"2015. 02",21,200,347,394,335,140,"1377",94,220,1435,2113,1196,1226,895,638,301,588,74.8,52,6.4,6.3,70,48.8,75.1,54.3
"2015. 03",12,201,346,398,341,165,"1385",89,213,1463,2262,1197,1227,902,644,296,583,75.3,52.5,5.7,4.9,71,49.9,75.2,54.9
"2015. 04",14,208,337,403,345,177,"1397",92,222,1483,2201,1199,1229,921,647,277,582,76.9,52.6,6.3,4.2,72,50.4,76.2,55
"2015. 05",14,215,334,401,345,189,"1402",95,229,1498,2138,1200,1230,924,662,276,568,77,53.8,5.7,5.2,72.6,51,76.3,55.2
"2015. 06",15,207,335,405,351,189,"1405",87,221,1501,2011,1201,1231,919,665,282,566,76.5,54,5.2,5.4,72.6,51.1,76.2,55.6
"2015. 07",18,209,333,402,354,186,"1409",95,228,1502,2194,1202,1232,918,664,284,569,76.4,53.9,4.5,5.9,73,50.7,76.8,55.2
"2015. 08",15,213,336,395,350,184,"1399",97,228,1493,2031,1203,1234,918,648,286,586,76.2,52.5,4.9,4.2,72.5,50.3,76.2,54.8
"2015. 09",14,218,334,400,358,184,"1415",99,233,1509,2131,1205,1235,921,662,283,573,76.5,53.6,5.3,4,72.4,51.5,76.3,56.2
"2015. 10",13,216,336,402,360,181,"1416",99,228,1507,2118,1206,1236,919,662,287,575,76.2,53.5,4.8,4.4,72.5,51.2,76.4,56
"2015. 11",13,223,341,403,360,180,"1431",101,235,1519,1936,1207,1238,917,670,290,568,76,54.1,4.5,4,72.6,52,76.7,57.1
"2015. 12",15,223,346,402,356,161,"1433",107,237,1501,1911,1208,1239,908,654,300,585,75.1,52.8,4.2,3.5,72,50.9,77.1,56.8
"2016. 01",16,220,345,408,354,153,"1437",101,235,1496,2285,1207,1240,914,653,294,587,75.7,52.7,4.4,4.6,72.3,50.2,77.8,56.5
"2016. 02",13,213,340,403,356,159,"1420",98,226,1484,2014,1209,1242,925,660,284,581,76.5,53.2,7,5.6,71.2,50.2,76.4,56.2
"2016. 03",10,223,336,405,357,173,"1424",104,233,1504,2148,1210,1243,929,660,281,583,76.8,53.1,5.9,4.7,72.3,50.6,76.9,56
"2016. 04",10,228,337,408,362,178,"1440",105,238,1522,2101,1211,1244,926,679,285,565,76.4,54.6,5.6,4.6,72.2,52.1,76.9,57.4
"2016. 05",14,233,340,406,365,183,"1453",108,247,1540,1974,1213,1246,935,682,278,563,77.1,54.8,5.6,3.8,72.8,52.7,77.5,57.9
"2016. 06",12,226,340,408,356,187,"1441",103,238,1529,1889,1214,1247,943,674,271,573,77.7,54.1,6.3,4.3,72.8,51.7,77.5,56.7
"2016. 07",16,235,342,406,364,187,"1463",113,251,1550,2024,1215,1248,948,681,267,567,78,54.6,5.8,3.7,73.5,52.6,78.3,57.8
"2016. 08",18,226,338,408,364,182,"1451",110,243,1535,1956,1216,1249,932,673,284,576,76.7,53.9,4.3,4.5,73.3,51.5,78.3,56.7
"2016. 09",15,223,340,400,366,180,"1439",105,238,1523,2050,1217,1250,935,663,282,587,76.9,53.1,4.9,4.5,73.1,50.7,78,55.9
"2016. 10",13,228,341,395,369,183,"1446",106,240,1527,1780,1218,1251,938,660,280,591,77,52.7,4.2,4.7,73.8,50.3,78.9,55.5
"2016. 11",12,214,342,400,371,186,"1440",93,226,1524,1803,1219,1252,933,660,286,592,76.5,52.7,4.2,4.4,73.3,50.4,78.2,55.7
"2016. 12",12,218,340,398,369,174,"1438",95,230,1511,1585,1220,1253,919,655,301,597,75.3,52.3,3.9,4.1,72.4,50.1,77.6,56.1
"2017. 01",13,211,335,399,367,166,"1425",90,225,1490,1985,1221,1254,915,660,307,593,74.9,52.7,5.4,5.3,70.8,49.9,76.1,56.4
"2017. 02",16,219,336,400,363,170,"1437",92,235,1503,1732,1222,1255,934,671,289,584,76.4,53.5,7,5.4,71,50.6,76.4,57.2
"2017. 03",14,219,335,397,366,188,"1440",91,234,1519,1900,1224,1256,936,666,288,590,76.5,53,5.7,4.2,72.1,50.8,76.9,56.9
"2017. 04",16,220,339,396,367,186,"1444",98,236,1523,1696,1224,1256,942,666,282,591,76.9,53,5.6,4.8,72.6,50.4,77.6,56.5
"2017. 05",17,231,337,394,374,196,"1461",106,248,1548,1696,1226,1257,951,675,275,583,77.6,53.7,5.2,4.2,73.6,51.4,78.3,57.4
"2017. 06",19,227,334,392,382,196,"1462",109,245,1549,1696,1226,1258,954,666,272,592,77.8,52.9,4.9,3.7,74,51,78.8,56.9
"2017. 07",17,231,335,392,377,194,"1457",108,249,1546,1743,1227,1259,951,661,276,598,77.5,52.5,4.7,3.3,73.9,50.7,78.7,56.6
"2017. 08",15,222,334,389,372,190,"1436",97,237,1522,1753,1228,1260,934,660,294,600,76.1,52.4,5.4,3.2,71.9,50.7,76.8,56.6
"2017. 09",12,226,335,392,376,200,"1448",96,238,1540,1786,1229,1261,936,674,293,587,76.2,53.5,5.5,2.7,72,52,76.6,57.8
"2017. 10",13,232,334,397,382,203,"1466",99,244,1560,1595,1230,1262,933,688,296,573,75.9,54.6,4.6,2.6,72.4,53.1,77.1,59
"2017. 11",11,228,335,393,377,205,"1454",100,239,1549,1553,1231,1263,928,683,303,580,75.4,54.1,4.6,2.8,71.9,52.6,76.7,58.3
"2017. 12",10,230,335,392,377,196,"1453",101,240,1539,1310,1232,1263,930,675,302,589,75.5,53.4,4.7,3.1,71.9,51.7,76.9,58
"2018. 01",13,230,341,393,378,184,"1465",100,243,1538,1900,1232,1264,931,678,301,586,75.6,53.7,4.5,4.2,72.1,51.4,77.5,58.5
"2018. 02",16,232,340,392,378,188,"1466",103,247,1546,1700,1232,1264,932,697,300,568,75.6,55.1,4.7,5.6,72.1,52,77.3,58.9
"2018. 03",14,234,344,387,384,207,"1472",103,248,1569,1800,1232,1265,945,706,287,559,76.7,55.8,4.8,5.3,73.1,52.8,78,58.8
"2018. 04",12,225,339,392,382,212,"1458",101,237,1562,1700,1233,1266,942,701,291,565,76.4,55.4,4.5,5.4,72.9,52.4,77.3,58.2
"2018. 05",14,236,341,397,383,216,"1483",107,250,1587,1700,1233,1266,959,704,274,562,77.8,55.6,4.7,4.3,74.1,53.2,78.8,59.1
"2018. 06",15,239,338,396,389,219,"1488",109,253,1595,1600,1234,1266,954,707,280,560,77.3,55.8,4,3.9,74.2,53.6,78.8,59.5
"2018. 07",13,240,337,397,392,213,"1489",106,252,1591,1600,1235,1268,944,712,291,556,76.5,56.1,4.1,3.7,73.3,54.1,78.1,60.3
"2018. 08",14,237,330,388,388,214,"1465",106,251,1570,1700,1236,1269,939,701,297,567,76,55.3,4.6,3.8,72.4,53.2,77,59.2
"2018. 09",15,240,328,387,391,216,"1473",107,255,1578,1600,1238,1270,941,699,297,570,76,55.1,4.2,3.2,72.8,53.3,77.4,59.5
"2018. 10",13,244,332,386,392,215,"1476",103,257,1581,1700,1239,1271,940,703,299,567,75.9,55.3,3.6,4.1,73.2,53.1,77.9,59.2
"2018. 11",11,238,332,393,398,220,"1487",94,248,1590,1600,1240,1272,941,711,299,561,75.9,55.9,3.8,3.6,73,53.9,77.7,60.4
"2018. 12",14,247,330,392,396,208,"1492",103,261,1587,1500,1241,1273,944,705,297,568,76.1,55.4,3.9,3.6,73.1,53.4,78.1,60.4
