"楷飞拌摸喊","15 - 19技","20 - 29技","30 - 39技","40 - 49技","50 - 59技","60技捞惑","15 - 64技","15 - 24技","15 - 29技","拌","chul","M15_Up_Ingu","F15_Up_Ingu","Mgj_Ingu","Fgj_Ingu","M_non_gj_Ingu","F_non_gj_Ingu","M_gj_chamga","F_gj_chamga","M_silup_rate","F_silup_rate","M_goyong_rate","F_goyong_rate","M_goyong_rate_15_64","F_goyong_rate_15_64"
"2002. 09",19,238,371,350,140,64,"1156",117,257,1183,2126,965,998,739,479,226,518,76.6,48.1,3.4,2.4,74,46.9,77,50.8
"2002. 10",17,236,371,354,144,65,"1161",111,253,1187,2140,967,998,750,482,217,516,77.6,48.3,3.9,3.2,74.5,46.8,77.6,50.6
"2002. 11",17,239,369,357,145,63,"1163",115,255,1189,1992,967,999,750,481,218,518,77.5,48.2,3.6,2.9,74.7,46.8,77.8,50.7
"2002. 12",17,238,367,358,146,62,"1162",114,255,1188,1961,968,1000,753,479,215,521,77.8,47.9,4,2.9,74.7,46.5,77.7,50.5
"2003. 01",21,239,344,345,139,58,"1119",119,260,1147,2484,969,1000,742,465,228,536,76.5,46.4,5.5,4.1,72.3,44.5,75.2,48.2
"2003. 02",19,239,340,349,137,58,"1114",119,258,1142,2309,970,1001,740,462,231,539,76.2,46.1,5.2,4.6,72.3,44,75.3,47.5
"2003. 03",16,238,350,359,140,65,"1138",114,254,1168,2476,971,1002,753,472,219,530,77.5,47.1,5.1,4,73.6,45.3,76.5,48.9
"2003. 04",16,241,351,359,147,63,"1148",117,257,1177,2429,973,1002,755,474,218,528,77.6,47.3,4.4,4.1,74.2,45.4,77.3,49.1
"2003. 05",14,236,352,360,151,68,"1150",112,250,1181,2388,974,1003,755,477,219,526,77.5,47.6,4.4,3.9,74.1,45.8,76.9,49.5
"2003. 06",13,241,348,360,149,72,"1147",116,254,1182,1918,975,1004,754,478,220,526,77.4,47.6,4.5,3.5,74,45.9,76.6,49.4
"2003. 07",19,245,349,359,150,71,"1160",126,264,1194,2025,976,1005,762,486,214,518,78.1,48.4,4.9,3.5,74.3,46.7,77.1,50.4
"2003. 08",16,235,340,350,151,70,"1129",116,251,1163,2099,976,1005,748,466,228,539,76.6,46.4,4.3,4.1,73.3,44.5,76.1,47.9
"2003. 09",11,241,343,358,151,75,"1139",113,251,1177,2234,977,1006,749,478,227,528,76.7,47.5,4.4,3.4,73.3,45.9,75.8,49.3
"2003. 10",9,241,343,360,151,72,"1140",113,251,1177,2322,977,1006,751,476,227,530,76.8,47.3,4.6,3.2,73.3,45.8,75.9,49.2
"2003. 11",10,245,343,361,151,73,"1147",116,255,1183,2163,978,1007,747,484,231,523,76.4,48.1,4.2,3.5,73.2,46.4,75.9,50
"2003. 12",15,242,341,359,147,65,"1139",118,257,1170,1985,978,1007,745,481,233,526,76.2,47.8,5.2,3.9,72.3,45.9,75.3,49.6
"2004. 01",17,246,338,350,147,63,"1131",128,262,1161,2402,980,1008,742,473,238,534,75.7,47,5,3.6,71.9,45.3,75,49
"2004. 02",14,241,341,353,145,64,"1127",124,254,1158,2192,980,1008,740,480,241,528,75.5,47.6,5.5,4.5,71.3,45.5,74.4,49.1
"2004. 03",12,243,341,362,147,74,"1143",120,255,1179,2435,981,1009,749,495,232,514,76.4,49,5.2,5.3,72.4,46.4,75.4,49.9
"2004. 04",11,246,346,369,150,75,"1160",120,257,1198,2053,981,1009,754,500,228,509,76.8,49.5,4.5,4.4,73.4,47.4,76.2,50.9
"2004. 05",13,246,346,364,148,73,"1154",119,259,1191,2083,982,1010,751,493,231,517,76.5,48.8,4.2,4.5,73.3,46.6,76.3,50.2
"2004. 06",13,247,347,359,150,75,"1153",120,260,1190,1935,983,1011,749,491,234,520,76.2,48.6,4.2,3.6,73,46.8,76,50.2
"2004. 07",20,247,344,358,147,72,"1151",131,267,1188,2048,984,1011,754,489,230,523,76.6,48.3,5,3.5,72.8,46.6,75.8,50.2
"2004. 08",14,244,340,348,149,73,"1128",118,258,1166,2003,985,1012,741,481,244,531,75.3,47.5,4.7,4.6,71.8,45.4,74.8,48.5
"2004. 09",17,240,347,358,147,73,"1146",118,257,1183,2024,986,1014,743,490,243,524,75.4,48.3,4.4,3.6,72.1,46.6,75.2,50
"2004. 10",16,238,346,359,150,76,"1147",118,254,1186,2143,987,1015,753,487,234,528,76.3,48,4.8,3.6,72.6,46.2,75.6,49.7
"2004. 11",16,240,343,363,156,78,"1157",119,256,1196,1935,987,1016,760,491,228,525,76.9,48.3,5,3.4,73.1,46.6,76.1,50.1
"2004. 12",17,238,341,369,155,71,"1155",115,254,1189,1839,988,1017,756,495,233,522,76.5,48.7,5.3,4.2,72.4,46.6,75.6,50.3
"2005. 01",18,229,345,358,150,69,"1138",112,247,1168,2168,989,1018,750,482,239,536,75.8,47.3,5.9,4.2,71.4,45.4,74.7,49.2
"2005. 02",16,235,337,351,150,63,"1124",114,251,1151,1792,990,1019,739,474,251,545,74.6,46.5,5.5,4.6,70.6,44.4,74.1,48.3
"2005. 03",14,230,343,358,154,70,"1139",105,244,1169,2100,991,1020,751,478,240,542,75.8,46.8,5.1,4.6,71.9,44.7,75.3,48.5
"2005. 04",13,235,340,368,156,72,"1150",109,248,1183,1839,992,1021,760,483,233,538,76.6,47.3,4.9,4.6,72.8,45.1,76.3,48.7
"2005. 05",15,236,343,368,162,77,"1167",114,251,1202,1819,993,1022,767,489,226,533,77.3,47.8,4.8,3.4,73.5,46.2,76.8,50
"2005. 06",16,235,348,370,163,76,"1174",114,251,1207,1813,994,1023,772,491,222,532,77.6,48,4.9,3.7,73.9,46.2,77.2,50.2
"2005. 07",19,231,342,373,162,72,"1168",118,251,1200,1803,995,1025,772,483,223,542,77.6,47.1,4.9,3.7,73.8,45.4,77.2,49.5
"2005. 08",18,226,340,375,163,74,"1162",110,243,1195,1995,997,1026,767,481,230,545,76.9,46.9,4.8,3.5,73.2,45.3,76.5,49.3
"2005. 09",15,226,344,375,165,73,"1165",104,241,1198,1971,999,1028,766,486,234,541,76.6,47.3,4.5,3.9,73.1,45.5,76.4,49.6
"2005. 10",16,229,345,375,169,74,"1172",104,244,1206,1925,1001,1029,768,490,233,540,76.7,47.6,4.2,3.9,73.5,45.7,76.8,49.7
"2005. 11",15,231,346,377,169,74,"1179",105,246,1212,1965,1003,1031,777,486,226,545,77.4,47.2,4.5,3.3,73.9,45.6,77.3,49.8
"2005. 12",15,225,348,367,170,66,"1163",102,240,1190,1836,1005,1033,763,487,242,546,75.9,47.1,5.3,3.9,71.9,45.3,75.3,49.8
"2006. 01",19,227,344,363,163,62,"1151",107,247,1178,2149,1001,1034,759,478,242,556,75.9,46.3,5.5,3.6,71.7,44.6,75.3,48.9
"2006. 02",16,231,341,374,165,65,"1160",103,247,1191,1939,1003,1036,761,493,241,543,75.9,47.6,5.8,3.9,71.5,45.8,74.9,50
"2006. 03",9,229,342,378,170,73,"1165",92,238,1201,2026,1005,1037,766,498,239,539,76.2,48,5.5,4.1,72,46.1,75.3,50
"2006. 04",10,231,354,382,173,78,"1189",91,241,1228,2026,1007,1039,782,503,225,536,77.7,48.4,4.7,4.2,74,46.4,77.4,50.3
"2006. 05",10,234,351,385,174,81,"1196",88,244,1236,1976,1009,1040,783,506,227,535,77.6,48.6,4.9,2.8,73.8,47.2,77.1,51.1
"2006. 06",9,236,351,391,178,84,"1205",90,244,1248,1839,1012,1042,784,515,227,527,77.5,49.4,4.4,3.1,74.1,47.8,77.3,51.7
"2006. 07",15,237,347,381,177,82,"1199",97,252,1239,1956,1014,1044,787,508,227,536,77.6,48.7,5.1,3.1,73.7,47.2,76.9,51.1
"2006. 08",12,235,343,377,176,83,"1184",91,246,1224,1983,1017,1046,780,497,236,549,76.8,47.5,4.5,3.5,73.3,45.8,76.5,49.6
"2006. 09",9,232,350,379,176,82,"1190",83,241,1228,2005,1019,1048,778,504,241,544,76.4,48.1,4.3,4,73.1,46.1,76.4,50.2
"2006. 10",9,232,348,387,180,83,"1201",88,241,1239,2012,1021,1050,784,509,237,541,76.8,48.5,4.6,3.6,73.3,46.7,76.7,50.9
"2006. 11",8,234,347,391,181,82,"1203",88,242,1243,1979,1023,1052,784,511,239,541,76.6,48.6,4.8,2.7,72.9,47.2,76.3,51.3
"2006. 12",10,229,343,386,177,76,"1185",88,238,1221,1821,1025,1054,775,504,251,550,75.5,47.8,5.3,3.2,71.5,46.3,74.8,50.6
"2007. 01",13,224,347,380,171,71,"1172",89,237,1206,2283,1028,1056,764,500,264,556,74.3,47.4,4.9,4.1,70.7,45.4,74.1,49.7
"2007. 02",14,224,351,385,171,70,"1180",92,238,1214,2094,1030,1058,767,506,263,552,74.5,47.8,5.2,3.7,70.6,46.1,74.1,50.4
"2007. 03",10,226,354,398,177,78,"1202",85,235,1242,2312,1033,1060,785,511,247,549,76.1,48.2,4.5,3.9,72.6,46.4,76.1,50.5
"2007. 04",11,225,354,399,184,83,"1213",85,236,1256,2183,1035,1062,789,519,246,543,76.2,48.9,4.1,3.8,73.1,47,76.4,51.2
"2007. 05",12,232,351,400,185,85,"1220",88,243,1264,2079,1037,1064,799,516,239,548,77,48.5,3.9,3.7,73.9,46.7,77.2,50.7
"2007. 06",11,236,354,400,187,87,"1229",90,247,1276,2000,1040,1066,807,522,233,544,77.6,49,4,3.9,74.5,47.1,77.6,51
"2007. 07",15,245,353,402,190,87,"1245",100,259,1289,2188,1043,1068,813,530,230,538,78,49.6,3.6,4.5,75.1,47.4,78.4,51.6
"2007. 08",13,236,349,397,190,84,"1226",90,248,1269,2358,1045,1070,800,521,245,550,76.5,48.7,3.7,4.3,73.7,46.6,77,50.8
"2007. 09",10,236,354,398,200,87,"1240",84,246,1285,2390,1048,1073,804,533,244,540,76.7,49.7,4.1,3.6,73.6,47.9,76.9,52.1
"2007. 10",10,235,355,403,199,94,"1248",87,246,1297,2488,1050,1075,808,540,242,535,77,50.3,4.3,3.2,73.7,48.7,76.9,52.7
"2007. 11",12,231,362,397,202,92,"1250",84,243,1296,2254,1053,1077,802,542,251,535,76.1,50.4,4,2.9,73.1,48.9,76.3,53.3
"2007. 12",12,235,352,397,200,87,"1239",87,247,1283,2083,1055,1080,804,536,252,544,76.2,49.6,4.7,3.4,72.6,47.9,76.1,52.1
"2008. 01",15,235,343,396,199,73,"1225",89,250,1261,2417,1058,1082,798,520,260,562,75.4,48,4.8,3.6,71.8,46.3,75.6,50.8
"2008. 02",11,235,337,391,205,76,"1219",87,246,1256,2074,1060,1084,800,516,260,568,75.5,47.6,4.9,4.1,71.8,45.7,75.3,50.2
"2008. 03",9,234,340,390,212,85,"1226",83,243,1270,2328,1063,1086,811,518,252,568,76.3,47.7,4.8,4,72.7,45.8,76.1,49.9
"2008. 04",13,238,337,392,216,97,"1237",91,251,1292,2149,1065,1089,813,530,252,558,76.3,48.7,3.9,3.8,73.4,46.9,76.4,50.6
"2008. 05",13,241,337,394,218,92,"1245",92,253,1294,2086,1067,1091,813,532,255,559,76.1,48.8,4.1,3.2,73,47.2,76.3,51.2
"2008. 06",10,231,339,395,219,94,"1237",87,242,1288,1884,1070,1093,803,537,267,556,75,49.1,4.1,3.6,71.9,47.4,75.2,51.3
"2008. 07",14,237,337,394,220,93,"1247",93,252,1296,2091,1072,1095,808,541,264,554,75.4,49.4,4.3,3.3,72.1,47.8,75.6,51.7
"2008. 08",13,232,334,384,217,95,"1223",86,245,1275,2017,1073,1096,797,528,276,568,74.3,48.2,4.3,3.1,71.1,46.7,74.4,50.4
"2008. 09",11,231,336,385,219,99,"1223",82,242,1280,2181,1074,1097,793,534,281,563,73.8,48.7,3.8,3.2,71,47.1,74.1,50.6
"2008. 10",10,228,342,393,227,101,"1242",79,238,1300,2187,1075,1098,802,547,273,551,74.6,49.8,3.6,3.7,71.9,48,75,51.5
"2008. 11",10,229,339,394,230,99,"1246",81,239,1302,2001,1077,1100,808,541,269,558,75.1,49.2,3.8,3.2,72.2,47.7,75.6,51.2
"2008. 12",9,224,333,391,220,87,"1217",77,234,1265,1950,1078,1101,798,519,280,582,74,47.1,4.1,3.6,71,45.4,74.7,49.1
"2009. 01",13,223,325,390,221,75,"1210",79,236,1247,2434,1080,1102,783,518,297,584,72.5,47,4.3,3.9,69.3,45.2,73.3,49.6
"2009. 02",9,231,321,389,216,82,"1205",82,240,1248,2020,1081,1103,790,518,291,586,73.1,46.9,5,3.9,69.4,45.1,73.1,49.2
"2009. 03",8,230,324,394,222,84,"1219",78,238,1262,2257,1082,1104,797,531,285,574,73.6,48.1,5.3,4.4,69.7,45.9,73.4,50.2
"2009. 04",9,233,332,396,231,99,"1247",83,242,1300,2092,1083,1106,811,547,272,559,74.9,49.5,4.5,4.1,71.6,47.5,74.9,51.4
