"","楷飞拌摸喊","15 - 19技","20 - 29技","30 - 39技","40 - 49技","50 - 59技","60技捞惑","15 - 64技","15 - 24技","15 - 29技","拌","chul"
"90","2005. 06",16,235,348,370,163,76,"1174",114,251,1207,1813
"91","2005. 07",19,231,342,373,162,72,"1168",118,251,1200,1803
"92","2005. 08",18,226,340,375,163,74,"1162",110,243,1195,1995
"93","2005. 09",15,226,344,375,165,73,"1165",104,241,1198,1971
"94","2005. 10",16,229,345,375,169,74,"1172",104,244,1206,1925
"95","2005. 11",15,231,346,377,169,74,"1179",105,246,1212,1965
"96","2005. 12",15,225,348,367,170,66,"1163",102,240,1190,1836
"97","2006. 01",19,227,344,363,163,62,"1151",107,247,1178,2149
"98","2006. 02",16,231,341,374,165,65,"1160",103,247,1191,1939
"99","2006. 03",9,229,342,378,170,73,"1165",92,238,1201,2026
"100","2006. 04",10,231,354,382,173,78,"1189",91,241,1228,2026
"101","2006. 05",10,234,351,385,174,81,"1196",88,244,1236,1976
"102","2006. 06",9,236,351,391,178,84,"1205",90,244,1248,1839
"103","2006. 07",15,237,347,381,177,82,"1199",97,252,1239,1956
"104","2006. 08",12,235,343,377,176,83,"1184",91,246,1224,1983
"105","2006. 09",9,232,350,379,176,82,"1190",83,241,1228,2005
"106","2006. 10",9,232,348,387,180,83,"1201",88,241,1239,2012
"107","2006. 11",8,234,347,391,181,82,"1203",88,242,1243,1979
"108","2006. 12",10,229,343,386,177,76,"1185",88,238,1221,1821
"109","2007. 01",13,224,347,380,171,71,"1172",89,237,1206,2283
"110","2007. 02",14,224,351,385,171,70,"1180",92,238,1214,2094
"111","2007. 03",10,226,354,398,177,78,"1202",85,235,1242,2312
"112","2007. 04",11,225,354,399,184,83,"1213",85,236,1256,2183
"113","2007. 05",12,232,351,400,185,85,"1220",88,243,1264,2079
"114","2007. 06",11,236,354,400,187,87,"1229",90,247,1276,2000
"115","2007. 07",15,245,353,402,190,87,"1245",100,259,1289,2188
"116","2007. 08",13,236,349,397,190,84,"1226",90,248,1269,2358
"117","2007. 09",10,236,354,398,200,87,"1240",84,246,1285,2390
"118","2007. 10",10,235,355,403,199,94,"1248",87,246,1297,2488
"119","2007. 11",12,231,362,397,202,92,"1250",84,243,1296,2254
"120","2007. 12",12,235,352,397,200,87,"1239",87,247,1283,2083
"121","2008. 01",15,235,343,396,199,73,"1225",89,250,1261,2417
"122","2008. 02",11,235,337,391,205,76,"1219",87,246,1256,2074
"123","2008. 03",9,234,340,390,212,85,"1226",83,243,1270,2328
"124","2008. 04",13,238,337,392,216,97,"1237",91,251,1292,2149
"125","2008. 05",13,241,337,394,218,92,"1245",92,253,1294,2086
"126","2008. 06",10,231,339,395,219,94,"1237",87,242,1288,1884
"127","2008. 07",14,237,337,394,220,93,"1247",93,252,1296,2091
"128","2008. 08",13,232,334,384,217,95,"1223",86,245,1275,2017
"129","2008. 09",11,231,336,385,219,99,"1223",82,242,1280,2181
"130","2008. 10",10,228,342,393,227,101,"1242",79,238,1300,2187
"131","2008. 11",10,229,339,394,230,99,"1246",81,239,1302,2001
"132","2008. 12",9,224,333,391,220,87,"1217",77,234,1265,1950
"133","2009. 01",13,223,325,390,221,75,"1210",79,236,1247,2434
"134","2009. 02",9,231,321,389,216,82,"1205",82,240,1248,2020
"135","2009. 03",8,230,324,394,222,84,"1219",78,238,1262,2257
"136","2009. 04",9,233,332,396,231,99,"1247",83,242,1300,2092
"137","2009. 05",10,231,333,395,231,102,"1247",85,240,1301,2012
"138","2009. 06",10,240,335,403,237,110,"1275",91,250,1335,1825
"139","2009. 07",15,246,335,400,230,114,"1277",101,260,1339,1903
"140","2009. 08",15,237,332,392,233,107,"1258",96,251,1315,1966
"141","2009. 09",10,233,334,396,238,106,"1262",87,243,1316,2044
"142","2009. 10",11,235,338,393,235,106,"1264",87,246,1318,2040
"143","2009. 11",14,233,337,395,234,110,"1268",90,247,1323,1912
"144","2009. 12",10,235,340,391,231,92,"1259",87,245,1299,1874
"145","2010. 01",17,229,335,392,226,83,"1251",91,246,1282,2352
"146","2010. 02",13,229,333,390,225,91,"1241",90,241,1280,2034
"147","2010. 03",11,227,333,391,235,104,"1255",85,238,1301,2215
"148","2010. 04",12,235,332,393,242,117,"1273",92,247,1332,2100
"149","2010. 05",12,237,333,397,249,124,"1290",91,249,1351,2095
"150","2010. 06",13,237,334,395,249,117,"1289",93,250,1345,1980
"151","2010. 07",20,237,343,394,253,121,"1309",99,257,1369,2034
"152","2010. 08",13,224,338,393,252,120,"1279",83,236,1339,2153
"153","2010. 09",9,226,336,396,255,115,"1281",81,235,1338,2266
"154","2010. 10",9,225,335,396,266,117,"1287",78,234,1346,2365
"155","2010. 11",9,232,337,402,263,116,"1300",83,241,1359,2279
"156","2010. 12",13,222,341,402,259,103,"1292",80,235,1340,1879
"157","2011. 01",18,221,336,396,251,93,"1273",85,239,1314,2590
"158","2011. 02",18,217,338,384,259,95,"1270",82,235,1311,2102
"159","2011. 03",18,213,341,392,268,102,"1288",85,231,1335,2325
"160","2011. 04",16,213,344,399,280,117,"1311",84,229,1369,2299
"161","2011. 05",18,221,344,407,287,124,"1336",89,238,1400,2106
"162","2011. 06",16,218,345,408,291,126,"1340",87,234,1404,1986
"163","2011. 07",20,220,340,414,289,117,"1342",92,240,1400,2135
"164","2011. 08",21,220,335,412,292,120,"1341",91,241,1400,2250
"165","2011. 09",16,216,337,409,288,121,"1328",87,232,1387,2184
"166","2011. 10",14,219,338,417,300,126,"1350",89,233,1413,2141
"167","2011. 11",15,221,339,416,296,130,"1351",93,236,1416,2108
"168","2011. 12",17,223,338,417,300,122,"1358",94,240,1416,1892
"169","2012. 01",16,214,330,409,290,117,"1320",90,230,1376,2546
"170","2012. 02",16,212,333,407,293,116,"1318",90,228,1376,2211
"171","2012. 03",16,224,338,419,295,123,"1353",98,240,1415,2492
"172","2012. 04",21,219,341,415,303,139,"1364",102,240,1438,2270
"173","2012. 05",22,215,337,419,305,148,"1363",99,236,1445,2251
"174","2012. 06",20,215,344,417,308,147,"1369",99,235,1450,2236
"175","2012. 07",24,227,339,413,306,143,"1373",109,250,1451,2281
"176","2012. 08",22,211,340,410,310,138,"1356",96,233,1430,2385
"177","2012. 09",15,208,344,412,316,142,"1360",87,222,1436,2420
"178","2012. 10",16,215,347,414,317,142,"1378",95,231,1451,2461
"179","2012. 11",15,218,344,410,324,141,"1379",99,233,1452,2227
"180","2012. 12",14,216,340,407,314,133,"1357",95,230,1424,2001
"181","2013. 01",17,207,332,396,313,125,"1331",94,224,1389,2539
"182","2013. 02",19,204,334,389,308,133,"1323",94,223,1387,2182
"183","2013. 03",16,201,344,400,323,146,"1357",91,217,1431,2300
"184","2013. 04",17,204,343,398,334,157,"1370",94,222,1453,2096
"185","2013. 05",19,212,343,399,329,158,"1373",101,231,1460,2045
"186","2013. 06",18,212,344,402,336,159,"1382",102,230,1471,1909
"187","2013. 07",16,209,342,402,335,156,"1374",98,226,1460,2162
"188","2013. 08",15,212,340,405,333,158,"1376",99,227,1463,2203
"189","2013. 09",12,217,346,403,332,164,"1382",102,229,1473,2129
"190","2013. 10",12,206,351,407,337,165,"1386",96,219,1478,2144
"191","2013. 11",9,209,344,407,331,159,"1371",91,219,1458,1972
"192","2013. 12",11,211,345,402,334,150,"1377",93,222,1454,1879
"193","2014. 01",19,205,338,400,331,141,"1364",96,224,1434,2362
"194","2014. 02",17,206,332,404,334,143,"1365",96,223,1436,2192
"195","2014. 03",14,200,336,407,341,158,"1370",86,213,1456,2219
"196","2014. 04",15,208,340,407,350,167,"1393",93,224,1487,2246
"197","2014. 05",17,209,340,407,349,172,"1397",97,226,1494,2118
"198","2014. 06",14,206,341,409,349,177,"1393",94,220,1496,1955
"199","2014. 07",17,211,341,407,350,174,"1401",99,228,1501,2156
"200","2014. 08",17,211,336,402,350,170,"1390",96,229,1487,2227
"201","2014. 09",15,215,337,405,352,168,"1398",94,230,1492,2248
"202","2014. 10",15,211,336,402,348,162,"1383",90,225,1473,2118
"203","2014. 11",16,208,338,396,347,166,"1380",90,223,1470,1937
"204","2014. 12",15,206,339,393,347,140,"1376",89,221,1440,2008
"205","2015. 01",17,211,345,391,344,134,"1387",96,227,1441,2445
"206","2015. 02",21,200,347,394,335,140,"1377",94,220,1435,2113
"207","2015. 03",12,201,346,398,341,165,"1385",89,213,1463,2262
"208","2015. 04",14,208,337,403,345,177,"1397",92,222,1483,2201
"209","2015. 05",14,215,334,401,345,189,"1402",95,229,1498,2138
"210","2015. 06",15,207,335,405,351,189,"1405",87,221,1501,2011
"211","2015. 07",18,209,333,402,354,186,"1409",95,228,1502,2194
"212","2015. 08",15,213,336,395,350,184,"1399",97,228,1493,2031
"213","2015. 09",14,218,334,400,358,184,"1415",99,233,1509,2131
"214","2015. 10",13,216,336,402,360,181,"1416",99,228,1507,2118
"215","2015. 11",13,223,341,403,360,180,"1431",101,235,1519,1936
"216","2015. 12",15,223,346,402,356,161,"1433",107,237,1501,1911
"217","2016. 01",16,220,345,408,354,153,"1437",101,235,1496,2285
"218","2016. 02",13,213,340,403,356,159,"1420",98,226,1484,2014
"219","2016. 03",10,223,336,405,357,173,"1424",104,233,1504,2148
"220","2016. 04",10,228,337,408,362,178,"1440",105,238,1522,2101
"221","2016. 05",14,233,340,406,365,183,"1453",108,247,1540,1974
"222","2016. 06",12,226,340,408,356,187,"1441",103,238,1529,1889
"223","2016. 07",16,235,342,406,364,187,"1463",113,251,1550,2024
"224","2016. 08",18,226,338,408,364,182,"1451",110,243,1535,1956
"225","2016. 09",15,223,340,400,366,180,"1439",105,238,1523,2050
"226","2016. 10",13,228,341,395,369,183,"1446",106,240,1527,1780
"227","2016. 11",12,214,342,400,371,186,"1440",93,226,1524,1803
"228","2016. 12",12,218,340,398,369,174,"1438",95,230,1511,1585
"229","2017. 01",13,211,335,399,367,166,"1425",90,225,1490,1985
"230","2017. 02",16,219,336,400,363,170,"1437",92,235,1503,1732
"231","2017. 03",14,219,335,397,366,188,"1440",91,234,1519,1900
"232","2017. 04",16,220,339,396,367,186,"1444",98,236,1523,1696
"233","2017. 05",17,231,337,394,374,196,"1461",106,248,1548,1696
"234","2017. 06",19,227,334,392,382,196,"1462",109,245,1549,1696
"235","2017. 07",17,231,335,392,377,194,"1457",108,249,1546,1743
"236","2017. 08",15,222,334,389,372,190,"1436",97,237,1522,1753
"237","2017. 09",12,226,335,392,376,200,"1448",96,238,1540,1786
"238","2017. 10",13,232,334,397,382,203,"1466",99,244,1560,1595
"239","2017. 11",11,228,335,393,377,205,"1454",100,239,1549,1553
"240","2017. 12",10,230,335,392,377,196,"1453",101,240,1539,1310
"241","2018. 01",13,230,341,393,378,184,"1465",100,243,1538,1900
"242","2018. 02",16,232,340,392,378,188,"1466",103,247,1546,1700
"243","2018. 03",14,234,344,387,384,207,"1472",103,248,1569,1800
"244","2018. 04",12,225,339,392,382,212,"1458",101,237,1562,1700
"245","2018. 05",14,236,341,397,383,216,"1483",107,250,1587,1700
"246","2018. 06",15,239,338,396,389,219,"1488",109,253,1595,1600
"247","2018. 07",13,240,337,397,392,213,"1489",106,252,1591,1600
"248","2018. 08",14,237,330,388,388,214,"1465",106,251,1570,1700
"249","2018. 09",15,240,328,387,391,216,"1473",107,255,1578,1600
"250","2018. 10",13,244,332,386,392,215,"1476",103,257,1581,1700
"251","2018. 11",11,238,332,393,398,220,"1487",94,248,1590,1600
"252","2018. 12",14,247,330,392,396,208,"1492",103,261,1587,1500
